Row ID;Order ID;Order Date;Shipping Date;Shipping Mode;Customer ID;Customer Name;Segment;Country/Region;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit
36;CA-2019-117590;03/10/2020;05/10/2020;Express;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;TEC-PH-10004977;Technology;Phones;GE 30524EE4;1097544;7;2;1234737
37;CA-2019-117590;03/10/2020;05/10/2020;Express;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;FUR-FU-10003664;Furniture;Furnishings;Electrix Architect's Clamp-On Swing Arm Lamp, Black;19092;5;6;-147963
45;CA-2019-118255;05/01/2020;07/01/2020;Express;ON-18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;TEC-AC-10000171;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;4598;2;0;197714
46;CA-2019-118255;05/01/2020;07/01/2020;Express;ON-18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;OFF-BI-10003291;Office Supplies;Binders;Wilson Jones Leather-Like Binders with DublLock Round Rings;1746;2;0;82062
56;CA-2019-111682;12/04/2020;13/04/2020;Express;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-ST-10000604;Office Supplies;Storage;Home/Office Personal File Carts;20856;6;0;5214
57;CA-2019-111682;12/04/2020;13/04/2020;Express;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-PA-10001569;Office Supplies;Paper;Xerox 232;324;5;0;15552
58;CA-2019-111682;12/04/2020;13/04/2020;Express;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;FUR-CH-10003968;Furniture;Chairs;Novimex Turbo Task Chair;31941;5;1;7098
59;CA-2019-111682;12/04/2020;13/04/2020;Express;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-PA-10000587;Office Supplies;Paper;Array Parchment Paper, Assorted Colors;1456;2;0;69888
60;CA-2019-111682;12/04/2020;13/04/2020;Express;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;TEC-AC-10002167;Technology;Accessories;Imation˜8gb Micro Traveldrive Usb 2.0˜Flash Drive;30;2;0;33
61;CA-2019-111682;12/04/2020;13/04/2020;Express;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-BI-10001460;Office Supplies;Binders;Plastic Binding Combs;4848;4;2;16362
62;CA-2019-111682;12/04/2020;13/04/2020;Express;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-AR-10001868;Office Supplies;Art;Prang Dustless Chalk Sticks;168;1;0;84
70;CA-2019-119823;30/03/2020;01/04/2020;Express;KD-16270;Karen Daniels;Consumer;United States;Springfield;Virginia;22153;South;OFF-PA-10000482;Office Supplies;Paper;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;7588;2;0;356636
76;US-2020-118038;05/10/2021;07/10/2021;Express;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFF-BI-10004182;Office Supplies;Binders;Economy Binders;1248;3;8;-19344
77;US-2020-118038;05/10/2021;07/10/2021;Express;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;FUR-FU-10000260;Furniture;Furnishings;"6"" Cubicle Wall Clock, Black";9708;3;6;-58248
78;US-2020-118038;05/10/2021;07/10/2021;Express;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFF-ST-10000615;Office Supplies;Storage;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;2724;3;2;2724
80;CA-2019-127208;07/04/2020;10/04/2020;Express;SC-20770;Stewart Carmichael;Corporate;United States;Decatur;Alabama;35601;South;OFF-AP-10002118;Office Supplies;Appliances;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";20816;1;0;562032
81;CA-2019-127208;07/04/2020;10/04/2020;Express;SC-20770;Stewart Carmichael;Corporate;United States;Decatur;Alabama;35601;South;OFF-BI-10002309;Office Supplies;Binders;Avery Heavy-Duty EZD  Binder With Locking Rings;1674;3;0;80352
85;US-2020-119662;09/09/2021;12/09/2021;Express;CS-12400;Christopher Schild;Home Office;United States;Chicago;Illinois;60623;Central;OFF-ST-10003656;Office Supplies;Storage;Safco Industrial Wire Shelving;230376;3;2;-489549
98;CA-2020-157833;13/04/2021;16/04/2021;Express;KD-16345;Katherine Ducich;Consumer;United States;San Francisco;California;94122;West;OFF-BI-10001721;Office Supplies;Binders;Trimflex Flexible Post Binders;51312;3;2;179592
120;CA-2019-103730;07/04/2020;10/04/2020;Express;SC-20725;Steven Cartwright;Consumer;United States;Wilmington;Delaware;19805;East;FUR-FU-10002157;Furniture;Furnishings;Artistic Insta-Plaque;4704;3;0;183456
121;CA-2019-103730;07/04/2020;10/04/2020;Express;SC-20725;Steven Cartwright;Consumer;United States;Wilmington;Delaware;19805;East;OFF-BI-10003910;Office Supplies;Binders;DXL Angle-View Binders with Locking Rings by Samsill;3084;4;0;13878
122;CA-2019-103730;07/04/2020;10/04/2020;Express;SC-20725;Steven Cartwright;Consumer;United States;Wilmington;Delaware;19805;East;OFF-ST-10000777;Office Supplies;Storage;Companion Letter/Legal File, Black;22656;6;0;634368
123;CA-2019-103730;07/04/2020;10/04/2020;Express;SC-20725;Steven Cartwright;Consumer;United States;Wilmington;Delaware;19805;East;OFF-EN-10002500;Office Supplies;Envelopes;Globe Weis Peel & Seel First Class Envelopes;11502;9;0;51759
124;CA-2019-103730;07/04/2020;10/04/2020;Express;SC-20725;Steven Cartwright;Consumer;United States;Wilmington;Delaware;19805;East;TEC-PH-10003875;Technology;Phones;KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7;6804;7;0;197316
131;US-2020-164147;28/11/2020;01/12/2020;Express;DW-13585;Dorothy Wardle;Corporate;United States;Columbus;Ohio;43229;East;TEC-PH-10002293;Technology;Phones;Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;5997;5;4;-11994
132;US-2020-164147;28/11/2020;01/12/2020;Express;DW-13585;Dorothy Wardle;Corporate;United States;Columbus;Ohio;43229;East;OFF-PA-10002377;Office Supplies;Paper;Xerox 1916;78304;2;2;29364
133;US-2020-164147;28/11/2020;01/12/2020;Express;DW-13585;Dorothy Wardle;Corporate;United States;Columbus;Ohio;43229;East;OFF-FA-10002780;Office Supplies;Fasteners;Staples;21456;9;2;69732
152;CA-2019-158834;07/01/2020;10/01/2020;Express;TW-21025;Tamara Willingham;Home Office;United States;Scottsdale;Arizona;85254;West;OFF-AP-10000326;Office Supplies;Appliances;Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection;15792;5;2;17766
153;CA-2019-158834;07/01/2020;10/01/2020;Express;TW-21025;Tamara Willingham;Home Office;United States;Scottsdale;Arizona;85254;West;TEC-PH-10001254;Technology;Phones;Jabra BIZ 2300 Duo QD Duo Corded˜Headset;203184;2;2;152388
154;CA-2018-124919;27/03/2019;29/03/2019;Express;SP-20650;Stephanie Phelps;Corporate;United States;San Jose;California;95123;West;OFF-PA-10001950;Office Supplies;Paper;Southworth 25% Cotton Antique Laid Paper & Envelopes;5838;7;0;26271
155;CA-2018-124919;27/03/2019;29/03/2019;Express;SP-20650;Stephanie Phelps;Corporate;United States;San Jose;California;95123;West;OFF-PA-10002254;Office Supplies;Paper;Xerox 1883;10552;4;0;485392
156;CA-2018-124919;27/03/2019;29/03/2019;Express;SP-20650;Stephanie Phelps;Corporate;United States;San Jose;California;95123;West;OFF-ST-10001590;Office Supplies;Storage;Tenex Personal Project File with Scoop Front Design, Black;8088;6;0;210288
161;CA-2019-162733;06/03/2020;07/03/2020;Express;TT-21070;Ted Trevino;Consumer;United States;Los Angeles;California;90045;West;OFF-PA-10002751;Office Supplies;Paper;Xerox 1920;598;1;0;2691
190;CA-2018-102281;08/08/2019;10/08/2019;Express;MP-17470;Mark Packer;Home Office;United States;New York City;New York;10035;East;FUR-BO-10002613;Furniture;Bookcases;Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors;899136;4;2;112392
191;CA-2018-102281;08/08/2019;10/08/2019;Express;MP-17470;Mark Packer;Home Office;United States;New York City;New York;10035;East;TEC-PH-10001552;Technology;Phones;I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink;7176;6;0;200928
192;CA-2018-102281;08/08/2019;10/08/2019;Express;MP-17470;Mark Packer;Home Office;United States;New York City;New York;10035;East;OFF-PA-10000061;Office Supplies;Paper;Xerox 205;5184;8;0;248832
193;CA-2018-102281;08/08/2019;10/08/2019;Express;MP-17470;Mark Packer;Home Office;United States;New York City;New York;10035;East;FUR-BO-10002545;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;626352;3;2;469764
194;CA-2018-102281;08/08/2019;10/08/2019;Express;MP-17470;Mark Packer;Home Office;United States;New York City;New York;10035;East;OFF-AR-10003514;Office Supplies;Art;4009 Highlighters by Sanford;199;5;0;6567
202;CA-2017-133690;30/05/2018;01/06/2018;Express;BS-11755;Bruce Stewart;Consumer;United States;Denver;Colorado;80219;West;FUR-TA-10004289;Furniture;Tables;BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;21875;2;5;-161875
203;CA-2017-133690;30/05/2018;01/06/2018;Express;BS-11755;Bruce Stewart;Consumer;United States;Denver;Colorado;80219;West;OFF-AP-10003622;Office Supplies;Appliances;Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack;26;1;2;2925
220;CA-2018-169397;20/10/2019;23/10/2019;Express;JB-15925;Joni Blumstein;Consumer;United States;Dublin;Ohio;43017;East;OFF-FA-10000585;Office Supplies;Fasteners;OIC Bulk Pack Metal Binder Clips;5584;2;2;18148
221;CA-2018-169397;20/10/2019;23/10/2019;Express;JB-15925;Joni Blumstein;Consumer;United States;Dublin;Ohio;43017;East;OFF-PA-10004000;Office Supplies;Paper;While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle;22704;6;2;82302
222;CA-2018-169397;20/10/2019;23/10/2019;Express;JB-15925;Joni Blumstein;Consumer;United States;Dublin;Ohio;43017;East;OFF-BI-10002852;Office Supplies;Binders;Ibico Standard Transparent Covers;19776;4;7;-138432
223;CA-2018-169397;20/10/2019;23/10/2019;Express;JB-15925;Joni Blumstein;Consumer;United States;Dublin;Ohio;43017;East;FUR-FU-10000087;Furniture;Furnishings;"Executive Impressions 14"" Two-Color Numerals Wall Clock";72704;4;2;190848
